,Path,bug
42,modules/core/src/main/java/org/apache/synapse/Constants.java,0
43,modules/core/src/main/java/org/apache/synapse/FaultHandler.java,0
44,modules/core/src/main/java/org/apache/synapse/Mediator.java,0
45,modules/core/src/main/java/org/apache/synapse/MessageContext.java,0
46,modules/core/src/main/java/org/apache/synapse/SynapseException.java,0
47,modules/core/src/main/java/org/apache/synapse/SynapseServer.java,1
52,modules/core/src/main/java/org/apache/synapse/config/Entry.java,0
53,modules/core/src/main/java/org/apache/synapse/config/SynapseConfiguration.java,0
54,modules/core/src/main/java/org/apache/synapse/config/SynapseConfigurationBuilder.java,0
55,modules/core/src/main/java/org/apache/synapse/config/Util.java,0
56,modules/core/src/main/java/org/apache/synapse/config/XMLToObjectMapper.java,0
57,modules/core/src/main/java/org/apache/synapse/config/xml/AbstractListMediatorFactory.java,0
58,modules/core/src/main/java/org/apache/synapse/config/xml/AbstractListMediatorSerializer.java,0
59,modules/core/src/main/java/org/apache/synapse/config/xml/AbstractMediatorFactory.java,0
60,modules/core/src/main/java/org/apache/synapse/config/xml/AbstractMediatorSerializer.java,0
62,modules/core/src/main/java/org/apache/synapse/config/xml/AnonymousListMediator.java,0
63,modules/core/src/main/java/org/apache/synapse/config/xml/AnonymousListMediatorFactory.java,0
64,modules/core/src/main/java/org/apache/synapse/config/xml/AnonymousListMediatorSerializer.java,0
65,modules/core/src/main/java/org/apache/synapse/config/xml/ClassMediatorFactory.java,0
67,modules/core/src/main/java/org/apache/synapse/config/xml/ClassMediatorSerializer.java,0
68,modules/core/src/main/java/org/apache/synapse/config/xml/Constants.java,0
69,modules/core/src/main/java/org/apache/synapse/config/xml/DropMediatorFactory.java,0
71,modules/core/src/main/java/org/apache/synapse/config/xml/DropMediatorSerializer.java,0
72,modules/core/src/main/java/org/apache/synapse/config/xml/EntryFactory.java,0
73,modules/core/src/main/java/org/apache/synapse/config/xml/EntrySerializer.java,0
74,modules/core/src/main/java/org/apache/synapse/config/xml/FaultMediatorFactory.java,0
76,modules/core/src/main/java/org/apache/synapse/config/xml/FaultMediatorSerializer.java,0
77,modules/core/src/main/java/org/apache/synapse/config/xml/FilterMediatorFactory.java,0
79,modules/core/src/main/java/org/apache/synapse/config/xml/FilterMediatorSerializer.java,0
80,modules/core/src/main/java/org/apache/synapse/config/xml/HeaderMediatorFactory.java,0
